date,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
2024-03-14,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-03-13,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-12,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-11,0,0.0,0,0.0,0,0.0,8078122,0.0,ams
2024-03-08,-19600,-0.2,0,0.0,19600,0.2,8078122,0.0,ams
2024-03-07,-14700,-0.15,0,0.0,14700,0.15,8078022,0.0,ams
2024-03-06,0,0.0,0,0.0,0,0.0,8075751,0.0,ams
2024-03-05,-100,-0.0,0,0.0,100,0.0,8075751,35.54,ams
2024-03-04,-2271,-0.02,0,0.0,2271,0.02,8035751,0.0,ams
2024-03-01,-40000,-0.41,0,0.0,40000,0.41,8035751,0.0,ams
2024-02-29,0,0.0,0,0.0,0,0.0,8035751,35.61,ams
2024-02-28,0,0.0,0,0.0,0,0.0,8035751,0.0,ams
2024-02-27,0,0.0,0,0.0,0,0.0,8035751,0.0,ams
2024-02-26,0,0.0,0,0.0,0,0.0,8035751,35.61,ams
2024-02-23,0,0.0,0,0.0,0,0.0,8033751,0.0,ams
2024-02-22,0,0.0,0,0.0,0,0.0,8033751,35.61,ams
2024-02-21,-2000,-0.02,0,0.0,2000,0.02,8033751,35.61,ams
2024-02-20,0,0.0,0,0.0,0,0.0,8033751,35.61,ams
2024-02-19,0,0.0,0,0.0,0,0.0,8033751,35.61,ams
2024-02-16,100,0.0,100,0.0,0,0.0,8033751,35.61,ams
2024-02-15,2000,0.02,2000,0.02,0,0.0,8033851,35.61,ams
2024-02-07,0,0.0,0,0.0,0,0.0,8035851,35.61,ams
2024-02-06,0,0.0,0,0.0,0,0.0,8035851,35.61,ams
2024-02-05,0,0.0,0,0.0,0,0.0,8029351,0.0,ams
2024-02-02,-6500,-0.07,0,0.0,6500,0.07,8029351,35.62,ams
2024-02-01,5000,0.05,5000,0.05,0,0.0,8029351,0.01,ams
2024-01-31,0,0.0,0,0.0,0,0.0,8034351,35.61,ams
2024-01-30,0,0.0,0,0.0,0,0.0,8034351,35.61,ams
